algo,episode,event_idx,total_ms,find_path_ms,path_points,path_length
AStar,5,7,52.408210998692084,52.398381998500554,281,280.8284271247462
AStar,5,8,56.27978600023198,56.26898500122479,281,287.4558441227157
AStar,5,9,61.04990400126553,61.0390660003759,281,287.4558441227157
AStar,6,0,53.568028000881895,53.408996001962805,281,280.0
AStar,6,1,50.869831000454724,50.859245002357056,281,280.0
AStar,6,2,50.84500900193234,50.834862999181496,281,280.0
AStar,6,3,50.45807900023647,50.44721000012942,281,280.0
AStar,6,4,50.06657799822278,50.0568370007386,281,280.0
AStar,6,5,72.89633500113268,72.88109699948109,282,298.8111831820436
AStar,6,6,76.15468799849623,76.14569399811444,282,298.8111831820436
AStar,6,7,75.43341999917175,75.42174199988949,282,298.8111831820436
AStar,6,8,78.46198400147841,78.45078099853708,282,298.8111831820436
AStar,6,9,78.38073699895176,78.36901900009252,282,298.8111831820436
AStar,7,0,58.319194002251606,58.30790500112926,281,281.6568542494924
AStar,7,1,55.96468899966567,55.954239000129746,281,281.6568542494924
AStar,7,2,56.22972600031062,56.21967399929417,281,281.6568542494924
AStar,7,3,54.844190999574494,54.83286600065185,281,281.6568542494924
AStar,7,4,54.57499199837912,54.56510099975276,281,281.6568542494924
AStar,7,5,55.86761000085971,55.85881799925119,281,281.6568542494924
AStar,7,6,58.425186998647405,58.412791000591824,281,285.79898987322343
AStar,7,7,61.854827999923145,61.84251200102153,281,285.79898987322343
AStar,7,8,58.63054699875647,58.619060000637546,281,285.79898987322343
AStar,7,9,60.74047600122867,60.729518001608085,281,285.79898987322343
AStar,8,0,33.03718799725175,33.02422400156502,281,280.0
AStar,8,1,46.51859399746172,46.50882799978717,281,280.0
AStar,8,2,50.059225999575574,50.04885200105491,281,280.0
AStar,8,3,53.784085997904185,53.773869996803114,281,282.4852813742385
AStar,8,4,52.657011001429055,52.64760399950319,281,282.4852813742385
AStar,8,5,52.89787700166926,52.88725999707822,281,282.4852813742385
AStar,8,6,52.35947099936311,52.35137999989092,281,282.4852813742385
AStar,8,7,53.979838001396274,53.968611002346734,281,282.4852813742385
AStar,8,8,51.09621600058745,51.08613499760395,281,282.4852813742385
AStar,8,9,55.55853500118246,55.54800800018711,281,282.4852813742385
AStar,9,0,78.20058599827462,78.19014499909827,281,299.882250993909
AStar,9,1,82.35566500297864,82.3446979993605,281,299.882250993909
AStar,9,2,77.56193800014444,77.55155199993169,281,299.882250993909
AStar,9,3,78.90063699960592,78.88779799759504,281,299.882250993909
AStar,9,4,75.51238700034446,75.50248299958184,281,299.882250993909
AStar,9,5,78.09075100158225,78.07835600033286,281,299.882250993909
AStar,9,6,80.82017100241501,80.80862800125033,281,299.882250993909
AStar,9,7,77.69031899806578,77.67813100144849,281,299.882250993909
AStar,9,8,82.3630820013932,82.35170999978436,281,299.882250993909
