algo,obstacle_count,trial,elapsed_ms,path_points,path_length
AStar,5,0,70.04162800149061,281,292.426406871193
AStar,5,1,61.63733699941076,281,287.4558441227159
AStar,5,2,50.97822300012922,281,280.8284271247462
AStar,5,3,57.9797949976637,281,286.6274169979695
AStar,5,4,74.97372500074562,281,292.4264068711932
AStar,5,5,61.82341099702171,281,288.284271247462
AStar,5,6,51.90693099939381,281,280.0
AStar,5,7,48.20546699920669,281,280.0
AStar,5,8,34.40829600003781,281,281.6568542494924
AStar,5,9,44.07481300222571,281,280.0
AStar,5,10,41.566498002794106,281,281.6568542494924
AStar,5,11,39.30676300296909,281,280.0
AStar,5,12,44.88929599756375,281,282.4852813742385
AStar,5,13,54.89313400175888,281,292.426406871193
AStar,5,14,40.23637800128199,281,280.0
AStar,5,15,51.11534499883419,281,287.4558441227158
AStar,5,16,57.209121998312185,281,287.4558441227159
AStar,5,17,45.43953499887721,281,284.142135623731
AStar,5,18,47.03469000014593,281,283.31370849898485
AStar,5,19,41.68680899965693,281,280.0
AStar,15,0,56.21829500159947,281,288.284271247462
AStar,15,1,76.80070700007491,281,300.7106781186553
AStar,15,2,46.48749999978463,281,280.0
AStar,15,3,40.1776200014865,281,280.0
AStar,15,4,64.01671999992686,281,304.0243866176398
AStar,15,5,63.616695999371586,281,299.0538238691626
AStar,15,6,50.117025999497855,281,285.79898987322343
AStar,15,7,56.69536200002767,281,286.6274169979697
AStar,15,8,47.56722400270519,281,280.0
AStar,15,9,46.58770500100218,281,280.0
AStar,15,10,88.11634100129595,281,310.6518036156092
AStar,15,11,43.5344690013153,281,280.0
AStar,15,12,52.320382001198595,281,283.31370849898485
AStar,15,13,80.6600840005558,281,308.1665222413708
AStar,15,14,44.34272599974065,281,280.0
AStar,15,15,57.26945700007491,281,288.28427124746213
AStar,15,16,82.93378300004406,281,309.8233764908634
AStar,15,17,88.36718700331403,281,290.76955262170077
AStar,15,18,53.27649500031839,281,285.79898987322343
AStar,15,19,60.349389001203235,281,291.59797974644687
AStar,30,0,72.38425499963341,281,302.3675323681474
AStar,30,1,55.68415699963225,281,299.8822509939085
AStar,30,2,52.88289500094834,281,284.14213562373106
AStar,30,3,67.52564099951996,281,295.74011537017793
AStar,30,4,57.13081399881048,281,286.6274169979697
AStar,30,5,54.915980999794556,281,292.4264068711931
